Square;Population;Male;Female;Age0-14;Age15-24;Age25-44;Age45-64;Age65+;Households;Single-person households;Multi-person households w/o kids;Single parent households;Two-parent households;Houses;Home ownership %;Rental %;Social housing %;Vacant houses;Avg. home value;Urbanization index;Median household income;Percentage low income households;Percentage high income households;Distance nearest supermarket in km;X;Y
E1790N3190;1300;640;665;135;155;235;390;385;635;235;220;45;135;645;60;40;180;30;247;3;40-60 midden;39;18;0,3;97210,16661;61117,27
E1790N3195;1190;575;620;145;135;225;355;330;565;195;200;45;125;575;60;40;190;20;235;4;40-60 midden;42;14;0,5;97210,16661;65736,435
E1790N3200;65;30;35;;10;5;25;20;30;10;15;;10;25;90;;;;370;4;60-80 above middle;;;0,8;97210,16661;70355,6
E1790N3205;30;15;15;5;;10;5;5;15;;;;5;15;80;;;;254;5;20-60 below middle to middle;;;0,6;97210,16661;74974,765
E1790N3210;5;;;;;;5;;5;;;;;5;;;;;537;5;;;;1,6;97210,16661;79593,93
E1790N3215;70;35;35;15;5;15;15;20;25;;10;;15;25;100;;;;326;5;60-80 above middle;;;1,7;97210,16661;84213,095
E1790N3220;160;80;80;15;10;25;45;60;75;15;40;;15;80;90;10;;5;279;4;60-80 above middle;;;0,8;97210,16661;88832,26
E1795N3130;85;40;45;;5;5;25;45;40;10;25;;5;40;100;;;;391;5;80-100 high;;;1,2;104405,0833;5687,29
E1795N3135;75;40;35;;10;;30;30;30;;20;;10;30;100;;;;421;5;80-100 high;;;1,3;104405,0833;10306,455
E1795N3150;;;;;;;;;;;;;;;;;;;;;;;;;104405,0833;24163,95
E1795N3160;70;35;35;10;5;15;15;30;35;10;20;;5;35;70;30;10;;233;4;40-60 midden;;;1,2;104405,0833;33402,28
E1795N3165;420;215;205;45;40;80;110;150;210;75;85;5;45;215;80;20;30;5;287;3;40-60 midden;34;23;0,9;104405,0833;38021,445
E1795N3170;340;170;165;55;30;45;110;105;145;30;70;;40;145;100;0;;;411;3;60-100 above middle to high;12;50;0,9;104405,0833;42640,61
E1795N3175;250;140;110;20;15;40;80;95;70;10;35;;20;150;40;60;;80;;4;60-100 above middle to high;;;1,1;104405,0833;47259,775
E1795N3180;5;;;;;;;5;;;;;;;;;;;;4;;;;1,5;104405,0833;51878,94
E1795N3185;665;330;335;110;115;90;295;60;225;15;70;10;130;225;100;;;;420;4;60-80 above middle;4;54;0,9;104405,0833;56498,105
E1795N3190;865;430;430;155;100;215;265;125;355;75;120;30;130;340;90;10;10;10;262;4;60-80 above middle;18;27;0,5;104405,0833;61117,27
E1795N3195;530;230;300;100;35;85;100;210;220;90;65;5;60;245;50;50;130;10;351;4;20-60 below middle to middle;56;25;0,7;104405,0833;65736,435
E1795N3200;40;15;20;10;;10;10;;10;;;;5;10;80;;;;654;4;;;;1,1;104405,0833;70355,6
E1795N3205;955;475;480;135;120;215;295;190;445;155;130;45;115;450;60;40;125;15;194;5;40-60 midden;47;14;0,3;104405,0833;74974,765
E1795N3210;385;195;195;50;40;85;125;90;180;55;65;10;45;185;80;20;30;5;231;4;40-60 midden;34;16;0,6;104405,0833;79593,93
E1795N3215;120;60;60;10;20;25;50;15;55;20;20;;15;45;80;20;5;;232;3;40-60 midden;;;1;104405,0833;84213,095
E1795N3220;475;230;245;65;50;90;155;115;210;50;95;10;55;215;90;10;10;5;265;4;60-80 above middle;16;27;0,9;104405,0833;88832,26
E1800N3150;;;;;;;;;;;;;;;;;;;;;;;;;111599,9999;24163,95
E1800N3160;75;50;25;10;60;;;;;;;;;5;;;;;188;5;;;;1,5;111599,9999;33402,28
E1800N3165;25;15;15;5;;5;10;5;10;5;;;;20;40;60;;10;;5;40-80 middle to above middle;;;1,3;111599,9999;38021,445
E1800N3175;;;;;;;;;;;;;;;;;;;;5;;;;;111599,9999;47259,775
E1800N3180;;;;;;;;;;;;;;;;;;;;;;;;;111599,9999;51878,94
E1800N3190;;;;;;;;;;;;;;;;;;;;;;;;;111599,9999;61117,27
E1800N3200;;;;;;;;;;;;;;;;;;;;5;;;;;111599,9999;70355,6
E1800N3205;130;75;55;15;15;25;40;35;55;10;20;5;20;50;60;40;15;;207;5;20-60 below middle to middle;;;0,5;111599,9999;74974,765
E1800N3210;110;55;55;15;15;15;35;35;55;20;20;;10;60;80;20;;5;242;4;40-60 midden;;;0,7;111599,9999;79593,93
E1800N3215;720;360;360;100;80;145;220;170;340;125;115;15;85;350;60;40;85;15;261;3;40-60 midden;36;24;0,6;111599,9999;84213,095
E1800N3220;1125;525;595;180;110;240;330;270;515;155;170;65;120;520;50;50;255;15;195;4;20-60 below middle to middle;47;10;0,9;111599,9999;88832,26
E1800N3225;20;10;5;;;;5;;10;;;;;10;60;;;;202;4;;;;1,2;111599,9999;93451,425
E1805N3130;;;;;;;;;;;;;;;;;;;;5;;;;;118794,9166;5687,29
E1805N3150;15;5;10;;;5;5;;10;;;;;10;;;;;309;5;20-60 below middle to middle;;;0,5;118794,9166;24163,95
E1805N3160;95;50;45;10;15;15;15;40;20;5;5;;5;60;20;80;;15;;5;20-60 below middle to middle;;;0,9;118794,9166;33402,28
E1805N3165;10;5;5;;;5;;;5;;;;;10;;80;;10;;5;;;;1,4;118794,9166;38021,445
E1805N3175;15;10;5;;;;;10;5;;;;;5;;;;;684;5;;;;2,2;118794,9166;47259,775
E1805N3185;15;10;5;;;;;;5;;;;;;;;;;;5;;;;2,1;118794,9166;56498,105
E1805N3195;;;;;;;;;;;;;;;;;;;;5;;;;;118794,9166;65736,435
E1805N3205;;;;;;;;;;;;;;;;;;;;;;;;;118794,9166;74974,765
E1805N3210;185;85;100;30;15;30;50;60;90;35;30;;25;80;80;20;15;;349;4;60-80 above middle;;;0,5;118794,9166;79593,93
E1805N3215;1115;495;620;80;95;200;275;465;650;370;175;35;65;710;30;70;350;75;198;4;20-40 below middle;63;10;0,2;118794,9166;84213,095
E1805N3220;945;470;480;120;75;225;290;235;445;160;140;40;105;445;50;50;195;5;193;4;40-60 midden;46;13;0,5;118794,9166;88832,26
E1810N3125;100;50;50;10;10;15;40;25;45;10;15;;15;45;80;20;;;355;5;60-80 above middle;;;3,2;125989,8333;1068,125
E1810N3130;25;15;10;;;5;10;;10;;;;;10;90;;;;354;5;;;;2,8;125989,8333;5687,29
E1810N3145;;;;;;;;;;;;;;;;;;;;;;;;;125989,8333;19544,785
E1810N3150;200;105;95;25;25;40;80;35;90;30;25;10;30;95;60;40;15;10;262;5;40-60 midden;;;0,3;125989,8333;24163,95
E1810N3155;850;405;445;100;70;145;225;305;395;105;175;15;95;395;90;10;30;10;289;5;60-80 above middle;19;26;0,4;125989,8333;28783,115
E1810N3160;230;115;115;25;40;25;95;45;90;15;30;;40;80;100;;;;434;5;60-80 above middle;;;0,7;125989,8333;33402,28
E1810N3165;;;;;;;;;;;;;;;;;;;;5;;;;;125989,8333;38021,445
E1810N3170;150;80;70;20;10;35;50;35;65;15;20;;25;65;80;20;10;;343;5;60-80 above middle;;;2,4;125989,8333;42640,61
E1810N3180;;;;;;;;;;;;;;;;;;;;;;;;;125989,8333;51878,94
E1810N3185;10;5;;;;;;5;;;;;;;;;;;;5;;;;1,8;125989,8333;56498,105
E1810N3190;5;;;;;;;;;;;;;;;;;;;5;;;;1,4;125989,8333;61117,27
E1810N3195;10;5;;;;;;;;;;;;;;;;;;5;;;;2;125989,8333;65736,435
E1810N3200;;;;;;;;;;;;;;;;;;;;;;;;;125989,8333;70355,6
E1810N3205;;;;;;;;;;;;;;;;;;;;5;;;;;125989,8333;74974,765
E1810N3210;80;40;40;5;10;15;25;25;35;10;10;;10;35;100;;;;301;5;40-60 midden;;;0,5;125989,8333;79593,93
E1810N3215;815;395;425;120;75;120;215;280;370;125;145;15;90;365;80;20;40;15;348;4;60-80 above middle;29;31;0,4;125989,8333;84213,095
E1810N3220;265;140;125;30;30;40;95;75;110;15;50;;35;105;100;;;;381;4;60-80 above middle;14;40;0,7;125989,8333;88832,26
E1815N3130;290;155;135;35;65;60;90;40;125;45;35;;40;115;80;20;10;20;293;5;40-80 middle to above middle;29;24;2,9;133184,7499;5687,29
E1815N3135;10;;5;;;;;;;;;;;;;;;;;5;;;;1,9;133184,7499;10306,455
E1815N3150;645;320;325;70;60;115;205;195;340;155;100;20;65;325;60;40;70;15;224;5;40-60 midden;52;16;0,2;133184,7499;24163,95
E1815N3155;620;305;315;95;50;90;185;200;275;70;120;15;70;285;90;10;5;10;346;5;60-80 above middle;25;33;0,4;133184,7499;28783,115
E1815N3165;10;;;;;;;;;;;;;;;;;;;5;;;;1,6;133184,7499;38021,445
E1815N3170;125;60;65;15;10;20;45;35;50;5;25;;15;50;90;10;;;485;5;80-100 high;;;2;133184,7499;42640,61
E1815N3175;65;40;25;5;;10;20;25;30;10;15;;5;35;70;30;;;406;5;40-80 middle to above middle;;;2,6;133184,7499;47259,775
E1815N3185;5;;;;;;;;;;;;;;;;;;;5;;;;;133184,7499;56498,105
E1815N3190;10;;5;;;;;;;;;;;;;;;;;5;;;;1,1;133184,7499;61117,27
E1815N3200;;;;;;;;;;;;;;;;;;;;5;;;;;133184,7499;70355,6
E1815N3205;;;;;;;;;;;;;;;;;;;;;;;;;133184,7499;74974,765
E1815N3210;45;25;20;5;;5;10;20;20;;10;;;20;90;;;;461;5;80-100 high;;;1,1;133184,7499;79593,93
E1815N3215;90;50;40;10;15;10;30;25;35;;20;;10;35;90;;;;700;5;80-100 high;;;0,9;133184,7499;84213,095
E1815N3220;;;;;;;;;;;;;;;;;;;;5;;;;;133184,7499;88832,26
E1820N3150;475;240;235;55;75;85;155;105;210;65;70;10;60;215;80;20;25;10;253;5;40-60 midden;30;22;0,5;140379,6666;24163,95
E1820N3205;;;;;;;;;;;;;;;;;;;;5;;;;;140379,6666;74974,765
E1820N3215;55;25;30;10;10;;20;15;20;;5;;5;20;90;;;;505;5;80-100 high;;;1,4;140379,6666;84213,095
