NODE ID;X;Y;SQUARE
226;91928;5274;E1785N3130
227;92399;5335;E1785N3130
228;92929;5355;E1785N3130
229;129850;5554;E1815N3130
230;98726;5610;E1790N3130
231;86519;5725;E1785N3130
232;99338;5722;E1790N3130
233;92459;5805;E1785N3130
234;99719;5805;E1790N3130
235;128466;5922;E1810N3130
236;86689;5935;E1785N3130
237;99778;5944;E1790N3130
238;132000;6034;E1815N3130
239;92469;6065;E1785N3130
240;94479;6075;E1790N3130
241;94829;6135;E1790N3130
242;131984;6121;E1815N3130
243;92469;6315;E1785N3130
244;95699;6335;E1790N3130
245;131974;6354;E1815N3130
246;92929;6395;E1785N3130
247;93349;6425;E1785N3130
248;93349;6495;E1785N3130
249;99617;6470;E1790N3130
250;94269;6675;E1790N3130
251;100872;6678;E1795N3130
252;131906;6553;E1815N3130
253;95239;6875;E1790N3130
254;98288;6367;E1790N3130
255;95329;6895;E1790N3130
256;99322;7045;E1790N3130
257;97908;7100;E1790N3130
258;93262;7170;E1785N3130
259;102066;7274;E1795N3130
260;101558;7323;E1795N3130
261;94659;7525;E1790N3130
262;92898;7657;E1785N3130
263;91622;7805;E1785N3130
264;99107;7877;E1790N3130
265;100547;7873;E1790N3130
266;94319;8065;E1790N3135
267;97375;8041;E1790N3135
268;89139;8125;E1785N3135
269;89465;8155;E1785N3135
270;87865;8218;E1785N3135
271;88955;8274;E1785N3135
272;89607;8295;E1785N3135
273;89069;8365;E1785N3135
274;89395;8385;E1785N3135
275;97074;8435;E1790N3135
276;102227;8490;E1795N3135
277;102841;8515;E1795N3135
278;99675;8525;E1790N3135
279;102948;8539;E1795N3135
280;98319;8575;E1790N3135
281;98684;8566;E1790N3135
282;83235;8691;E1780N3135
283;82498;8768;E1780N3135
284;96849;8765;E1790N3135
285;103333;8896;E1795N3135
286;99794;8850;E1790N3135
287;98056;8940;E1790N3135
288;101207;8921;E1795N3135
289;98432;9039;E1790N3135
290;98736;9170;E1790N3135
291;98663;9288;E1790N3135
292;88850;9182;E1785N3135
293;89128;9251;E1785N3135
294;99895;9677;E1790N3135
295;57718;9903;E1765N3135
296;98949;10075;E1790N3135
297;99239;10325;E1790N3135
298;99737;10716;E1790N3135
299;96819;11135;E1790N3135
300;74076;11266;E1775N3135
301;96628;11520;E1790N3135
302;96892;12032;E1790N3135
303;85242;12227;E1780N3135
304;78233;12244;E1775N3135
305;83748;12265;E1780N3135
306;82922;12276;E1780N3135
