node_id,assigned_service_point,distance
1,931,655.55418547
2,4356,1156.38351704
3,6765,1821.1067699050004
4,4356,685.649692555
5,1204,519.5940918399999
6,1204,653.5888570000001
7,753,1615.11180915
8,4431,714.9998922569999
9,3155,2491.548710013
10,3155,2454.867788543
11,3343,2493.7030229259994
12,3343,2360.5631582559995
13,3343,2732.058220026
14,3343,2462.3929093259994
15,3343,2416.801984586
16,3343,2456.562392026
17,3343,2510.2170840769995
18,3343,2644.684403477
19,3343,2753.182882777
20,3343,2402.617583866
21,3343,2364.188298156
22,3343,2232.963437796
23,3343,2141.315364856
24,3343,2669.8225834659997
25,3343,2618.6611722259995
26,3343,2998.1092874659994
27,3343,2838.983115877
28,3343,2868.529689286999
29,3343,2904.981861267
30,3343,2806.779620967
31,3343,2970.193604467
32,3343,3016.137604397
33,3343,2902.547728097
34,3343,2712.426613597
35,3343,2616.788441297
36,3343,2529.907258067
37,3343,2827.881787167
38,3343,2879.884190957
39,3343,2860.429751777
40,3343,2837.907177406
41,3343,2710.331034336
42,3343,2358.765583996
43,3343,2166.522109986
44,3343,2219.903192776
45,3343,2226.986975816
46,3343,2753.4281458969995
47,3343,2774.0630677569998
48,3155,771.359859685
49,3343,2846.878828136
50,3343,3435.327736386
51,3343,3671.544522386
52,3155,3435.054235413
53,3343,3454.398129136
54,3343,2447.9987872159995
55,3343,2462.519462136
56,3343,2371.720218796
57,3343,2235.727889106
58,3343,2356.611975686
59,5820,209.83959566
60,2155,673.4873399889999
61,4987,275.43617441
62,3155,2270.749812553
63,3343,2478.995201876
64,3343,2336.8174217959995
65,3343,2380.188033966
67,3343,2407.676001516
68,4987,364.315023507
69,4987,9.831073187
70,3155,260.7007292
71,3155,263.94455702
72,2155,1125.464184006
73,2155,614.7941998169999
74,3343,2509.431813366
75,3343,2605.932176056
76,3343,2654.250734766
77,3343,4989.442889776
78,3343,3709.146733696
80,3343,3775.2808189469993
81,3343,3587.755114046999
82,3343,3317.317893946999
83,3343,3244.989245966999
84,3343,3099.159680976999
85,3343,3234.922607016999
86,3343,2993.6892014269997
87,3343,2970.3189211569997
88,3343,2762.701390477
89,6765,1776.7357803750006
90,6765,1440.4837373750004
91,6765,1318.664049245
92,6765,1213.467032145
93,6765,1320.090831945
94,6765,1407.8239098170002
95,4356,1084.74844251
96,4356,832.7289988100001
97,8282,990.837086315
98,4387,685.821085277
99,3513,595.48298409
100,4356,5415.00684151
101,4356,6224.22899271
102,4356,6582.44537981
103,3343,3634.8723774259993
104,3343,2980.907583426
105,3343,2935.706587866
108,3343,2712.694990887
109,3155,812.8017464829999
110,6765,700.152196185
111,6765,679.217774765
112,6765,497.35112783
113,4356,1134.629587052
114,4356,4005.451455702
115,6908,1898.644956433
116,6908,1641.225010773
121,4356,6318.80647417
122,4356,4078.22780251
123,4356,403.930185535
124,4356,665.259498835
125,6765,1537.659390575
126,6765,1550.8915483750002
127,6765,1442.167977345
128,6765,1387.923346275
129,6765,1488.220230275
130,6765,1688.5262598250004
131,6765,1767.2049735950004
132,6765,1577.4935910750005
133,6765,1742.7025438750004
134,6765,1624.2964629750004
135,6765,1648.1917355650005
136,6765,1402.5489248650003
137,6765,1421.6429029750004
138,6765,434.50250685
139,6765,343.64630178
140,6765,332.71454691
141,6765,937.05961391
142,6765,3129.52910901
143,6765,2717.86427291
144,4356,1667.7189072470003
145,4356,1590.2527856170002
146,4356,1482.336783917
147,4356,1347.594846617
148,4356,1089.803458117
149,4356,1488.937815267
150,4356,1301.1542962669998
151,4356,954.075605417
152,4356,1289.585042017
153,4356,1028.008058581
154,6765,1594.9427391140005
155,6765,941.91525149
156,6765,1216.09128979
157,6765,1297.76901013
158,4356,1590.750251717
159,6765,2490.608627384001
160,6765,2009.6987751750005
161,6765,2515.5178347650003
162,6765,2414.1254266140004
163,6765,1742.1232531750004
164,6765,447.51110611
165,6765,233.1436038
166,6765,1441.76984761
167,4356,1993.6228348470004
168,4356,2275.9195758470005
169,4356,2146.420996017
170,4356,1945.299937917
171,4356,1352.2146747809998
172,4356,1399.704820465
173,4356,1254.374162965
174,4356,839.130517652
175,6765,1837.1730238450004
176,6765,1809.2381833350005
182,753,3408.335424817
183,284,871.7594786000001
184,753,3140.2243827
185,753,3211.59867779
186,753,3378.354597607
187,753,3369.95400239
188,284,947.09747878
189,284,845.75005723
190,284,662.43330596
191,284,585.84864692
192,284,1637.35019695
193,284,828.49813176
194,284,1449.40975006
195,284,1584.95744936
196,284,915.44404377
197,284,788.92752649
198,284,793.7845482530001
199,657,3281.0290293419994
200,657,3092.0513425019994
201,657,3071.0028418719994
202,657,3054.0954470419997
203,284,770.3956621330001
204,284,786.59441814
205,284,748.2990560630001
206,753,3475.401235877
207,657,3343.7610108889994
208,284,666.6975242130001
209,284,658.54829112
210,284,718.63008699
211,284,2169.08069543
212,284,2094.83859147
213,284,2363.76191058
214,284,2321.26955833
215,284,828.1355676600001
216,284,703.05733243
217,284,748.59441814
218,284,704.59441814
219,284,440.88485832
220,284,706.981818897
221,284,1276.78055206
222,657,3389.527483329
223,284,621.316941967
224,284,1002.498923015
225,284,846.27066272
226,284,780.1978998000001
227,284,732.7045318400001
228,284,691.6228277800001
229,657,3441.5232523889995
230,284,367.6918140300001
231,284,1204.37889462
232,284,429.90821058000006
233,284,685.3231008800001
234,284,468.9017998000001
235,657,3213.46455498
236,284,1177.36038245
237,284,484.00213092000007
238,657,2869.1391246959997
239,284,659.3132979000001
240,284,576.04158533
241,284,579.040426097
242,657,2860.2932216899994
243,284,634.3132979000001
244,284,489.771170467
245,657,2836.13279403
246,284,587.6228277800001
247,284,545.51582124
248,284,538.51582124
249,284,433.14387641
250,284,512.47272503
251,284,560.35586481
252,657,2815.10305319
253,284,413.43232923
254,284,280.2336526
255,284,422.651873687
256,284,368.51803019
257,284,197.66919293
258,284,470.45746393
259,284,785.5983509800001
260,284,541.6777108499999
261,284,326.31746253
262,284,410.346538
263,284,538.8019777
264,284,282.58497485
265,284,426.58553045
266,284,262.505238
267,284,89.52253323
268,284,1991.4766646800003
269,284,1756.72816418
270,284,920.55179615
271,284,811.40803775
272,284,746.1742274999999
273,284,1966.4766646800003
274,284,1732.68653362
275,284,39.94058087
276,284,556.14512763
277,284,617.59600232
278,284,300.92112793
279,284,628.56185842
280,284,165.22525667
281,284,201.73635087
282,284,1385.9669614999998
283,284,1460.0681085899998
284,284,0.0
285,284,682.5274839
