Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y
E1740N3175,835,395.0,440.0,95.0,105.0,195.0,220.0,225.0,450.0,205.0,145.0,25.0,75.0,420.0,50.0,40.0,125.0,10.0,206.0,1.0,40-60 midden,45.0,12.0,"0,6","25260,99994","47259,775"
E1740N3180,745,385.0,365.0,80.0,65.0,195.0,245.0,155.0,440.0,235.0,100.0,45.0,55.0,475.0,10.0,90.0,430.0,45.0,118.0,1.0,20-40 below middle,77.0,2.0,"0,7","25260,99994","51878,94"
E1740N3185,1595,790.0,805.0,240.0,230.0,395.0,420.0,305.0,840.0,410.0,175.0,115.0,135.0,840.0,10.0,80.0,690.0,35.0,140.0,1.0,20-40 below middle,72.0,2.0,"0,7","25260,99994","56498,105"
E1740N3190,1790,815.0,975.0,175.0,175.0,345.0,485.0,615.0,1000.0,510.0,250.0,75.0,160.0,1020.0,30.0,70.0,670.0,45.0,162.0,2.0,20-40 below middle,67.0,6.0,"0,5","25260,99994","61117,27"
E1740N3195,845,415.0,430.0,95.0,105.0,155.0,250.0,240.0,385.0,145.0,130.0,20.0,95.0,380.0,70.0,30.0,80.0,15.0,222.0,3.0,40-60 midden,33.0,21.0,"0,6","25260,99994","65736,435"
E1745N3140,2,,,,,,,,,,,,,,,,,,,5.0,,,,,"32455,91661","14925,62"
E1745N3145,15,5.0,5.0,,,,5.0,,5.0,,,,,5.0,,,,,,5.0,,,,"2,7","32455,91661","19544,785"
E1745N3150,10,5.0,5.0,,,,5.0,,,,,,,,,,,,,5.0,,,,"2,3","32455,91661","24163,95"
E1745N3155,10,5.0,,,,,,,,,,,,,,,,,,4.0,,,,"1,6","32455,91661","28783,115"
E1745N3160,120,55.0,60.0,10.0,10.0,15.0,35.0,50.0,55.0,15.0,25.0,,15.0,55.0,90.0,10.0,,,604.0,3.0,80-100 high,,,"1,3","32455,91661","33402,28"
