EDGE ID;V1;V2;DIST;DIRECTED (v1 -> v2);TYPE;NAME;MAX_SPEED;X1;Y1;X2;Y2;Square 1;Square 2;Square mid
e11095;8280;2558;10,30048543;TRUE;secondary;Via Regia;50;35221;48582;35138;48643;E1745N3175;E1745N3175;E1745N3175
e11094;8281;2569;50,50089108;TRUE;tertiary;Dokter van Kleefstraat;50;35773;48921;35308;48724;E1745N3175;E1745N3175;E1745N3175
e11086;4959;4960;159,3010044;TRUE;service;undefined;5;79123;31169;80714;31249;E1775N3160;E1780N3160;E1780N3160
e11082;8271;8271;0;FALSE;service;undefined;5;78235;34028;78235;34028;E1775N3160;E1775N3160;E1775N3160
e11071;8263;5604;79,71812843;FALSE;service;undefined;5;77410;30780;76613;30797;E1775N3155;E1775N3155;E1775N3155
e11064;8257;184;158,1189426;TRUE;secondary;Oosterweg;80;75022;4730;74510;3234;E1775N3130;E1775N3125;E1775N3130
e11054;3482;5820;47,10859794;TRUE;residential;Severenplein;30;98629;61921;98158;61912;E1790N3190;E1790N3190;E1790N3190
e11053;5818;3458;35,70224083;TRUE;residential;Severenplein;30;98173;61634;98530;61638;E1790N3190;E1790N3190;E1790N3190
e11065;184;8258;9,304837452;TRUE;secondary;Oosterweg;80;74510;3234;74477;3147;E1775N3125;E1775N3125;E1775N3125
e11098;4398;8461;11,98206994;TRUE;tertiary;undefined;50;34635;48626;34649;48507;E1745N3175;E1745N3175;E1745N3175
e11099;3147;8283;54,01370197;TRUE;trunk;Noorderbrug;50;67354;57989;67892;58037;E1770N3185;E1770N3185;E1770N3185
e11093;8280;8281;64,77846865;TRUE;tertiary;Dokter van Kleefstraat;50;35221;48582;35773;48921;E1745N3175;E1745N3175;E1745N3175
e11091;8277;8278;59,46427499;TRUE;trunk;undefined;100;84478;35409;84422;36001;E1780N3160;E1780N3165;E1780N3160
e11092;8279;6053;66,11089169;TRUE;service;undefined;50;34710;48325;35371;48313;E1745N3175;E1745N3175;E1745N3175
