Square,Population,Male,Female,Age0-14,Age15-24,Age25-44,Age45-64,Age65+,Households,Single-person households,Multi-person households w/o kids,Single parent households,Two-parent households,Houses,Home ownership %,Rental %,Social housing %,Vacant houses,Avg. home value,Urbanization index,Median household income,Percentage low income households,Percentage high income households,Distance nearest supermarket in km,X,Y,Male.prop,Female.prop,Age0-14.prop,Age15-24.prop,Age25-44.prop,Age45-64.prop,Age65+.prop,Single-person households.prop,Multi-person households w/o kids.prop,Single parent households.prop,Two-parent households.prop,hold_house_ratio,pop_house_ratio,pop_hold_ratio,Income_median
E1730N3185,90,40.0,45.0,10.0,10.0,15.0,40.0,10.0,40.0,10.0,20.0,0.0,10.0,40.0,90.0,0.0,0.0,0.0,275.0,3.0,40-80 middle to above middle,,,"0,8",10871.16661,56498.105,44.44444444444444,50.0,11.11111111111111,11.11111111111111,16.666666666666664,44.44444444444444,11.11111111111111,25.0,50.0,0.0,25.0,1.0,2.25,2.25,60.0
E1730N3190,1050,505.0,545.0,170.0,85.0,265.0,260.0,270.0,450.0,125.0,160.0,35.0,125.0,440.0,40.0,60.0,240.0,10.0,203.0,3.0,20-40 below middle,49.0,7.0,"0,7",10871.16661,61117.27,48.095238095238095,51.90476190476191,16.19047619047619,8.095238095238095,25.238095238095237,24.761904761904763,25.71428571428571,27.77777777777778,35.55555555555556,7.777777777777778,27.77777777777778,1.0227272727272727,2.3863636363636362,2.3333333333333335,30.0
E1730N3200,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,10871.16661,70355.6,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1730N3205,3,2.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,10871.16661,74974.765,66.66666666666666,33.33333333333333,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1735N3145,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,18066.08328,19544.785,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1735N3150,3,1.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,5.0,,,,,18066.08328,24163.95,33.33333333333333,66.66666666666666,33.33333333333333,0.0,66.66666666666666,0.0,0.0,0.0,0.0,0.0,100.0,1.0,3.0,3.0,
E1735N3155,630,305.0,325.0,115.0,40.0,145.0,140.0,190.0,275.0,80.0,110.0,10.0,80.0,280.0,70.0,30.0,35.0,0.0,258.0,4.0,40-80 middle to above middle,32.0,24.0,"0,9",18066.08328,28783.115,48.41269841269841,51.587301587301596,18.253968253968253,6.349206349206349,23.015873015873016,22.22222222222222,30.158730158730158,29.09090909090909,40.0,3.6363636363636362,29.09090909090909,0.9821428571428571,2.25,2.290909090909091,60.0
E1735N3160,650,315.0,335.0,85.0,85.0,120.0,170.0,190.0,305.0,100.0,120.0,20.0,65.0,280.0,60.0,40.0,60.0,10.0,268.0,2.0,40-60 midden,40.0,14.0,"0,5",18066.08328,33402.28,48.46153846153846,51.53846153846153,13.076923076923078,13.076923076923078,18.461538461538463,26.153846153846157,29.230769230769234,32.78688524590164,39.34426229508197,6.557377049180328,21.311475409836063,1.0892857142857142,2.3214285714285716,2.1311475409836067,50.0
E1735N3165,1895,940.0,950.0,210.0,140.0,390.0,515.0,640.0,1035.0,485.0,315.0,75.0,155.0,1035.0,40.0,60.0,500.0,20.0,164.0,2.0,20-40 below middle,58.0,6.0,"0,3",18066.08328,38021.445,49.6042216358839,50.131926121372025,11.081794195250659,7.387862796833773,20.58047493403694,27.176781002638524,33.773087071240106,46.85990338164252,30.434782608695656,7.246376811594203,14.975845410628018,1.0,1.8309178743961352,1.8309178743961352,30.0
E1735N3170,1480,715.0,765.0,170.0,205.0,340.0,425.0,335.0,805.0,375.0,205.0,80.0,135.0,765.0,50.0,50.0,285.0,20.0,165.0,2.0,20-60 below middle to middle,50.0,10.0,"0,7",18066.08328,42640.61,48.310810810810814,51.689189189189186,11.486486486486488,13.85135135135135,22.972972972972975,28.716216216216218,22.635135135135133,46.58385093167702,25.465838509316768,9.937888198757763,16.77018633540373,1.0522875816993464,1.934640522875817,1.8385093167701863,40.0
