node_id,x,y,square,nearest_service_point,population
150,11210.0,23598.0,E1730N3150,4356,2
151,8711.0,25966.0,E1730N3150,4356,2
152,5939.0,24082.0,,4356,NA
153,4052.0,26918.0,,4356,NA
154,37609.0,8654.0,E1750N3135,6765,2
155,40067.0,5816.0,,6765,NA
156,41612.0,3551.0,,6765,NA
157,42422.0,3656.0,,6765,NA
158,8854.0,22785.0,E1730N3150,4356,2
159,45230.0,4158.0,,6765,NA
160,41550.0,8108.0,E1750N3135,6765,2
161,46540.0,8919.0,E1755N3135,6765,2
162,44472.0,4260.0,,6765,NA
163,40135.0,10379.0,E1750N3135,6765,2
164,28442.0,4916.0,,6765,NA
165,34012.0,7586.0,,6765,NA
166,19300.0,9625.0,,6765,NA
167,11614.0,17678.0,,4356,NA
168,14366.0,17049.0,,4356,NA
169,7538.0,19155.0,,4356,NA
170,6096.0,20557.0,,4356,NA
171,1045.0,25706.0,,4356,NA
172,3682.0,25211.0,,4356,NA
173,5082.0,24821.0,,4356,NA
174,6344.0,29457.0,,4356,NA
175,33912.0,14815.0,E1745N3140,6765,2
176,34642.0,14808.0,E1745N3140,6765,2
182,71909.0,3165.0,E1770N3125,753,2
183,93449.0,3165.0,E1785N3125,284,125
184,74510.0,3234.0,E1775N3125,753,2
185,73800.0,3307.0,E1775N3125,753,2
186,72135.0,3362.0,,753,NA
187,72219.0,3361.0,,753,NA
188,92430.0,3375.0,,284,NA
189,93442.0,3425.0,,284,NA
190,99963.0,3462.0,E1790N3130,284,915
191,99198.0,3498.0,E1790N3130,284,915
192,89389.0,3575.0,E1785N3130,284,320
193,101623.0,3494.0,E1795N3130,284,85
194,85159.0,3687.0,E1780N3130,284,85
195,88909.0,3785.0,E1785N3130,284,320
196,92020.0,3929.0,E1785N3130,284,320
197,93426.0,3993.0,E1785N3130,284,320
198,96199.0,4035.0,E1790N3130,284,915
199,130007.0,4005.0,E1815N3130,657,290
200,132643.0,4163.0,E1815N3130,657,290
201,132097.0,4212.0,E1815N3130,657,290
202,132266.0,4207.0,E1815N3130,657,290
203,95762.0,4381.0,E1790N3130,284,915
204,92959.0,4455.0,E1785N3130,284,320
205,95977.0,4432.0,E1790N3130,284,915
206,72042.0,4328.0,,753,NA
207,129929.0,4626.0,E1815N3130,657,290
208,96772.0,4616.0,E1790N3130,284,915
209,96851.0,4636.0,E1790N3130,284,915
210,93389.0,4695.0,E1785N3130,284,320
211,117558.0,4727.0,E1805N3130,284,2
212,116816.0,4752.0,E1805N3130,284,2
213,119503.0,4751.0,E1805N3130,284,2
214,119079.0,4779.0,E1805N3130,284,2
215,91909.0,4795.0,E1785N3130,284,320
216,94499.0,4805.0,E1790N3130,284,915
217,92959.0,4835.0,E1785N3130,284,320
218,93399.0,4835.0,E1785N3130,284,320
219,99007.0,4935.0,E1790N3130,284,915
220,95429.0,5005.0,E1790N3130,284,915
221,86129.0,5115.0,E1780N3130,284,85
222,130040.0,5070.0,E1815N3130,657,290
223,96397.0,5220.0,E1790N3130,284,915
224,101549.0,5232.0,E1795N3130,284,85
225,91268.0,5305.0,E1785N3130,284,320
226,91928.0,5274.0,E1785N3130,284,320
227,92399.0,5335.0,E1785N3130,284,320
228,92929.0,5355.0,E1785N3130,284,320
229,129850.0,5554.0,E1815N3130,657,290
230,98726.0,5610.0,E1790N3130,284,915
231,86519.0,5725.0,E1785N3130,284,320
232,99338.0,5722.0,E1790N3130,284,915
233,92459.0,5805.0,E1785N3130,284,320
234,99719.0,5805.0,E1790N3130,284,915
235,128466.0,5922.0,E1810N3130,657,25
236,86689.0,5935.0,E1785N3130,284,320
237,99778.0,5944.0,E1790N3130,284,915
238,132000.0,6034.0,E1815N3130,657,290
239,92469.0,6065.0,E1785N3130,284,320
240,94479.0,6075.0,E1790N3130,284,915
241,94829.0,6135.0,E1790N3130,284,915
242,131984.0,6121.0,E1815N3130,657,290
243,92469.0,6315.0,E1785N3130,284,320
244,95699.0,6335.0,E1790N3130,284,915
245,131974.0,6354.0,E1815N3130,657,290
246,92929.0,6395.0,E1785N3130,284,320
247,93349.0,6425.0,E1785N3130,284,320
248,93349.0,6495.0,E1785N3130,284,320
249,99617.0,6470.0,E1790N3130,284,915
250,94269.0,6675.0,E1790N3130,284,915
251,100872.0,6678.0,,284,NA
252,131906.0,6553.0,E1815N3130,657,290
253,95239.0,6875.0,E1790N3130,284,915
254,98288.0,6367.0,E1790N3130,284,915
255,95329.0,6895.0,E1790N3130,284,915
256,99322.0,7045.0,E1790N3130,284,915
257,97908.0,7100.0,E1790N3130,284,915
